id,participant_id,agegroup_id,divisi_id,team_id,block_date
8,13,11,1,307,292
19,36,11,2,300,294
54,21,11,2,303,293
61,31,11,4,337,298
70,2,11,3,333,297
71,64,11,1,372,291
85,71,11,2,382,295
111,65,11,2,373,293
114,8,11,2,246,295
147,30,11,4,241,298
152,67,11,2,375,294
155,18,11,1,254,292
156,21,11,1,301,291
178,1,11,3,253,297
201,2,11,1,332,292
251,16,11,2,289,294
253,59,11,2,359,295
263,54,11,3,348,296
332,54,11,2,347,295
344,34,11,3,342,296
395,73,11,1,385,291
414,29,11,3,314,297
